Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Avg. Search Depth,Search Category (Phil),Search Category (Erik),Notes,Search Category,Second Category,Third Category,
CU Boulder,1,1,0.00%,100.00%,0:00:05,0,placename,placename,,placename,,,single
denver,3,1.67,66.67%,40.00%,0:00:14,0.33,placename,placename,,placename,,,single
Denver,2,1.5,50.00%,0.00%,0:01:36,3,placename,placename,,placename,,,single
denver topogrpahy,1,1,100.00%,0.00%,0:00:00,0,placename|datatype,topical,,placename,datatype,,combined
Elyria Swansea,1,1,0.00%,0.00%,0:01:00,3,placename,placename,,placename,,,single
estes,1,1,0.00%,100.00%,0:00:34,0,placename,placename,,placename,,,single
fancy lake,1,1,0.00%,0.00%,0:00:17,2,placename,placename,,placename,,,single
florida,1,1,0.00%,100.00%,0:00:02,0,placename,placename,,placename,,,single
Flying J Ranch,1,2,0.00%,50.00%,0:00:13,0,placename,placename,,placename,,,single
"Flying J Ranch, Conifer",1,1,100.00%,0.00%,0:00:00,0,placename,placename,,placename,,,single
Georgia,1,1,0.00%,0.00%,0:03:03,18,placename,placename,,placename,,,single
giplin county,1,2,100.00%,0.00%,0:00:05,0,placename,placename,,placename,,,single
glenwood springs,1,1,100.00%,0.00%,0:00:00,0,placename,placename,,placename,,,single
golden,1,2,0.00%,50.00%,0:00:08,2,placename,placename,,placename,,,single
Grand Canyon,1,1,0.00%,0.00%,0:00:11,1,placename,placename,,placename,,,single
grand county,1,1,0.00%,100.00%,0:00:05,0,placename,placename,,placename,,,single
gunnison river basin,1,3,0.00%,0.00%,0:30:11,3,placename,placename,,placename,,,single
Haiti,1,2,100.00%,0.00%,0:00:03,0,placename,placename,,placename,,,single
Hamburg,1,1,0.00%,0.00%,0:13:42,17,placename,placename,,placename,,,single
"Hamburg, Michigan",1,1,0.00%,100.00%,0:00:06,1,placename,placename,,placename,,,single
hong kong,2,1.5,0.00%,66.67%,0:00:05,0.5,placename,placename,,placename,,,single
Hwy 285 historical map,1,1,0.00%,100.00%,0:00:15,1,placename|format,placename,,placename,format,,combined
Hwy 285 map,1,1,0.00%,100.00%,0:00:15,1,placename|format,placename,,placename,format,,combined
iceland,1,1,0.00%,0.00%,0:00:09,1,placename,placename,,placename,,,single
iran,1,1,0.00%,100.00%,0:00:23,1,placename,placename,,placename,,,single
jefferson county,1,2,0.00%,0.00%,0:00:41,3,placename,placename,,placename,,,single
lake powell,1,1,0.00%,100.00%,0:00:08,1,placename,placename,,placename,,,single
"lakewood, colorado",1,1,0.00%,100.00%,0:00:05,0,placename,placename,,placename,,,single
land types of Colorado,1,1,0.00%,100.00%,0:00:44,0,placename|topical,topical,,placename,topical,,combined
larimer county,2,1,0.00%,50.00%,0:01:32,4,placename,placename,,placename,,,single
larimer county colorado,1,1,100.00%,0.00%,0:00:00,0,placename,placename,,placename,,,single
Las Vegas,1,1,0.00%,100.00%,0:00:06,0,placename,placename,,placename,,,single
"leadville, CO",1,1,0.00%,0.00%,0:00:16,2,placename,placename,,placename,,,single
longmount,1,2,0.00%,50.00%,0:00:09,1,placename,placename,,placename,,,single
louisana,1,1,100.00%,0.00%,0:00:00,0,placename,placename,,placename,,,single
Loveland,1,1,0.00%,0.00%,0:00:02,1,placename,placename,,placename,,,single
Lubbock TX,1,1,0.00%,100.00%,0:00:20,1,placename,placename,,placename,,,single
Mancos,1,1,0.00%,100.00%,0:00:37,1,placename,placename,,placename,,,single
"Mancos, CO",1,1,0.00%,100.00%,0:00:16,1,placename,placename,,placename,,,single
